2010-12-17 23:54 | SUCCESS |  1 | Artikel-Status | Updated articles: 1
2010-12-17 23:48 | SUCCESS |  1 | Artikel-Status | Updated articles: 0
2010-12-16 21:33 | SUCCESS |  3 | DB-Export | localhost_rex500_20101216_2.sql created, mail sent
2010-12-16 21:32 | SUCCESS |  3 | DB-Export | localhost_rex500_20101216_1.sql created, mail sent
2010-12-16 21:32 | SUCCESS |  3 | DB-Export | localhost_rex500_20101216.sql created, mail sent
2010-12-16 21:12 | SUCCESS |  3 | DB-Export | localhost_rex500_20101216_7.sql created, mail sent
2010-12-16 21:12 | SUCCESS |  3 | DB-Export | localhost_rex500_20101216_6.sql created, mail sent
2010-12-16 21:11 |  ERROR  |  3 | DB-Export | localhost_rex500_20101216_5.sql created, mail not sent
2010-12-16 21:11 |  ERROR  |  3 | DB-Export | localhost_rex500_20101216_4.sql created, mail not sent
2010-12-16 21:10 |  ERROR  |  3 | DB-Export | localhost_rex500_20101216_3.sql created, mail not sent
2010-12-16 21:10 | SUCCESS |  3 | DB-Export | localhost_rex500_20101216_2.sql created, mail sent
2010-12-16 21:04 | SUCCESS |  3 | DB-Export | localhost_rex500_20101216_1.sql created, mail sent
2010-12-16 21:03 | SUCCESS |  3 | DB-Export | localhost_rex500_20101216.sql created, mail sent
2010-12-15 21:42 | SUCCESS |  3 | DB-Export | localhost_rex500_20101215.sql created, mail sent
2010-12-15 21:41 | SUCCESS |  3 | DB-Export | 21TTP_HOST_rex21:41EX_VERSION_20101215.sql created, mail sent
2010-12-15 21:36 | SUCCESS |  3 | DB-Export | 21TTP_HOST_rex21:36EX_VERSION_20101215.sql created, mail sent
2010-12-15 21:34 | SUCCESS |  3 | DB-Export | 21TTP_HOST_rex21:34EX_VERSION_20101215.sql created, mail sent
2010-12-15 21:26 | SUCCESS |  3 | DB-Export | 21TTP_HOST_rex21:26EX_VERSION_20101215.sql created, mail sent
